"Origin","Destination"
"SA3 5EL","SA6 8QX"
"SA8 4LA","SA6 8QX"
"SA8 4LA","SA6 8QX"
"SA6 5AW","SA6 8QX"
"SA6 5AW","SA6 8QX"
"SA1 1SU","SA6 8QX"
"SA7 0HY","SA6 8QX"
"SA12 6EG","SA6 8QX"
"SA32 7TG","SA6 8QX"
"SA4 3PQ","SA6 8QX"
"SA6 8PQ","SA6 8QX"
"SA6 5EE","SA6 8QX"
"SA5 4TD","SA6 8QX"
"SA4 8JB","SA6 8QX"
"SA4 4AE","SA6 8QX"
"SA10 7TE","SA6 8QX"
"SA13 2LZ","SA6 8QX"
"SA15 1LP","SA6 8QX"
"SA2 8AS","SA6 8QX"
"LE13 1HP","SA6 8QX"
"SA10 6RT","SA6 8QX"
"SA14 8XW","SA6 8QX"
"SA14 8XW","SA6 8QX"
"SA11 4EA","SA6 8QX"
"SA7 0NF","SA6 8QX"
"SA62 5HW","SA6 8QX"
"CF44 9SE","SA6 8QX"
"SA7 9RN","SA6 8QX"
"SA14 9AZ","SA6 8QX"
"SA1 1SA","SA6 8QX"
"CF45 4AR","SA6 8QX"
"SA7 9SF","SA6 8QX"
"SW16 2RQ","SA6 8QX"
"SA13 1BG","SA6 8QX"
"SA10 6JZ","SA6 8QX"
"SA12 6EG","SA6 8QX"
"SA44 4RY","SA6 8QX"
"SA14 8DU","SA6 8QX"
